population_size,mutation_rate,crossover_rate,n_generations,avg_score,std_score,best_score,worst_score,avg_runtime_s,conv_25pct,conv_50pct,conv_75pct,conv_100pct
50,0.1,0.6,50,5964.8,112.69,6100,5804,11.305,5478.4,5716.8,5862.8,5964.8
50,0.1,0.6,100,6081.9,80.5,6215,5918,29.461,5745.1,5915.5,6011.3,6081.9
50,0.1,0.6,200,6173.5,76.47,6254,6052,71.252,5855.3,6058.9,6136.8,6173.5
50,0.1,0.8,50,5876.7,133.69,6066,5672,17.671,5418.8,5690,5774,5867.4
50,0.1,0.8,100,6100.3,102.02,6233,5929,35.109,5715,5903.4,6016.1,6100.3
50,0.1,0.8,200,6114.4,96.73,6287,5937,71.218,5892.2,6055.1,6101.6,6114.4
50,0.1,1.0,50,5883.6,145.12,6049,5633,17.312,5585.7,5683.9,5801.1,5880.2
50,0.1,1.0,100,6061.5,84.43,6158,5895,34.192,5724.4,5883.8,5998.6,6061.2
50,0.1,1.0,200,6214.7,62.82,6310,6117,65.338,5896.7,6091.6,6167.6,6214.1
50,0.2,0.6,50,5678,99.05,5856,5556,16.181,5284.1,5464.1,5584.7,5668.9
50,0.2,0.6,100,5779.8,91.26,5992,5682,29.032,5513.7,5718.5,5756.6,5779.8
50,0.2,0.6,200,5875,72.0,5999,5768,45.794,5620.7,5768.7,5836.1,5875
50,0.2,0.8,50,5651.4,153.46,5931,5485,11.39,5362.2,5527.5,5572.8,5651.4
50,0.2,0.8,100,5787.2,135.21,6056,5608,22.508,5551.7,5600.4,5718.7,5785.2
50,0.2,0.8,200,5875.3,92.52,6125,5794,47.162,5656.7,5797.1,5846.5,5875.3
50,0.2,1.0,50,5652.2,126.07,5927,5510,11.702,5337.5,5563.9,5618.6,5638.4
50,0.2,1.0,100,5809.3,98.76,5966,5649,22.869,5571.1,5708.5,5775.1,5809.3
50,0.2,1.0,200,5922.8,78.07,6093,5844,64.169,5675.4,5805,5851.3,5922.8
100,0.01,0.6,50,6077,168.41,6333,5778,36.197,5613.6,5883.7,6013,6077
100,0.01,0.6,100,6184.3,175.78,6417,5866,70.502,5872.5,6085.3,6169.1,6183.9
100,0.01,0.6,200,6222.3,92.41,6333,6016,614.23,6092.4,6208.4,6219.4,6222.3
100,0.01,0.8,50,6076.7,121.24,6255,5883,24.295,5649.8,5866.4,6009.8,6070.9
100,0.01,0.8,100,6135.9,187.55,6421,5797,46.275,5917.8,6043.9,6122.9,6135.9
100,0.01,0.8,200,6121.2,128.3,6412,5983,91.98,6006.5,6060.5,6076.4,6121.2
100,0.01,1.0,50,6155.3,125.52,6363,5968,22.884,5665,5991.9,6118.4,6153.3
100,0.01,1.0,100,6170.8,106.83,6343,6000,45.506,5916.4,6109.8,6164,6170.8
100,0.01,1.0,200,6224.7,109.09,6332,5964,102.978,6148,6213.6,6219.6,6224
100,0.05,0.6,50,6165.3,74.33,6266,6050,32.235,5647.7,5891.3,6055.2,6162.8
100,0.05,0.6,100,6212.5,84.79,6325,6101,68.083,5862.3,6058.1,6132,6210.7
100,0.05,0.6,200,6364.1,67.41,6417,6213,151.649,6132.3,6262.7,6342.2,6364.1
100,0.05,0.8,50,6128.3,83.14,6268,6006,33.574,5578.1,5861,6036.6,6128.3
100,0.05,0.8,100,6315.2,68.58,6391,6182,57.01,5887.1,6182.4,6267.8,6315.2
100,0.05,0.8,200,6365.1,63.3,6421,6214,144.677,6167.2,6296.6,6343.7,6364.9
100,0.05,1.0,50,6169.9,63.53,6303,6096,29.738,5680.1,5934.6,6063.3,6169.9
100,0.05,1.0,100,6327.4,98.48,6405,6118,45.34,5956.1,6170.5,6276.9,6326.9
100,0.05,1.0,200,6362,60.72,6421,6244,88.255,6147.7,6307.5,6338.8,6362
100,0.1,0.6,50,5937.8,147.32,6191,5690,22.737,5551.6,5723.9,5861.4,5931.1
100,0.1,0.6,100,6171.7,76.29,6296,6090,66.28,5758.6,5960.1,6063.1,6152.2
100,0.1,0.6,200,6218.4,75.91,6309,6036,141.002,5948.3,6102.3,6173.1,6218.4
100,0.1,0.8,50,5976.7,73.92,6088,5889,35.634,5550.4,5751.4,5887.8,5976.7
100,0.1,0.8,100,6145.1,62.25,6270,6053,70.809,5747.9,5979.1,6068.9,6145.1
100,0.1,0.8,200,6251.6,67.65,6315,6115,142.627,5945,6118.1,6223.4,6251.6
100,0.1,1.0,50,5983,131.88,6146,5779,36.139,5597.4,5770.5,5872.6,5983
100,0.1,1.0,100,6151.8,49.89,6217,6057,72.027,5779.8,5974.1,6084.8,6151.8
100,0.1,1.0,200,6282.2,58.54,6383,6192,2174.235,5934.9,6130,6225.1,6279.7
100,0.2,0.6,50,5726.4,108.06,5976,5600,41.505,5416.1,5577.2,5650.5,5726.4
100,0.2,0.6,100,5806.5,79.82,5947,5736,81.714,5566,5670.1,5773.2,5790.7
100,0.2,0.6,200,5941.1,70.55,6040,5818,149.091,5641.5,5802.4,5881.4,5941.1
100,0.2,0.8,50,5669,80.17,5772,5537,36.196,5385.7,5516,5618.5,5661.9
100,0.2,0.8,100,5843.9,54.07,5916,5743,49.428,5579.1,5726.7,5815.8,5843.9
100,0.2,0.8,200,5925.9,63.61,6019,5838,115.335,5696.2,5824.4,5854.9,5925.9
100,0.2,1.0,50,5680.8,96.96,5876,5539,36.864,5471.5,5595.5,5625,5680.8
100,0.2,1.0,100,5789.8,81.96,5923,5674,89.315,5599.9,5706.4,5751.5,5788.6
100,0.2,1.0,200,5955.5,75.44,6092,5859,118.57,5708.8,5832,5922.7,5955.5
