model,test_r2,test_mae,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_mae_std
RF Regressor,0.718,232.12,0.7074,0.0243,239.35,12.43
GB Regressor,0.7646,217.92,0.7376,0.019,226.61,6.74
